,userId,songId,num_plays,
,27,633,1,
,192,673,6,
,12,683,1,
,223,108,1,
,22,193,1,
,209,34,1,
,190,210,1,
,233,183,1,
,111,497,1,
,140,300,1,
,86,103,9,
,20,417,1,
,94,409,3,
,292,601,1,
,306,222,1,
,120,372,3,
,19,493,6,
,299,233,1,
,41,360,5,
,207,654,1,
,72,696,2,
,307,291,2,
,49,674,6,
,238,442,1,
,69,168,2,
,82,295,3,
,219,646,1,
,214,235,2,
,145,430,1,
,56,560,3,
,58,64,3,
,204,117,1,
,150,554,1,
,110,504,2,
,68,41,13,
,270,269,1,
,252,202,5,
,144,107,7,
,27,326,1,
,47,679,2,
,177,719,15,
,305,380,1,
,291,520,1,
,182,130,1,
,283,443,2,
,258,166,3,
,257,400,1,
,127,361,2,
,263,518,1,
,87,62,5,
,69,482,2,
,121,75,1,
,195,141,1,
,90,712,1,
,200,515,1,
,272,272,1,
,298,213,3,
,188,228,1,
,150,574,2,
,260,170,3,
,116,612,1,
,242,370,2,
,158,58,1,
,284,726,2,
,313,106,2,
,36,499,1,
,65,337,11,
,53,201,1,
,133,2,2,
,12,67,2,
,223,275,2,
,91,605,4,
,157,174,1,
,185,0,3,
,280,521,2,
,6,407,24,
,20,401,1,
,164,422,1,
,163,53,4,
,258,588,1,
,299,322,1,
,127,530,1,
,197,101,1,
,107,210,4,
,39,103,5,
,7,350,1,
,136,417,1,
,84,388,7,
,314,602,8,
,194,333,8,
,264,685,4,
,113,654,3,
,256,696,1,
,195,305,3,
,32,386,2,
,75,291,1,
,265,473,7,
,105,674,1,
,11,689,1,
,71,474,1,
,199,3,1,
,284,328,1,
,118,283,2,
,124,295,2,
,0,646,2,
,18,491,1,
,74,620,7,
,208,544,1,
,78,560,2,
,28,64,1,
,27,504,1,
,253,447,2,
,103,347,1,
,230,327,1,
,225,489,5,
,233,675,1,
,177,383,1,
,218,107,1,
,40,286,1,
,292,498,2,
,163,568,1,
,262,669,1,
,269,278,1,
,207,173,1,
,72,23,1,
,301,162,1,
,55,624,1,
,23,453,5,
,84,649,1,
,10,467,5,
,50,166,3,
,216,400,1,
,80,264,1,
,21,569,9,
,151,703,1,
,200,576,1,
,11,160,2,
,204,408,1,
,116,480,1,
,317,697,2,
,119,558,2,
,2,653,2,
,131,21,2,
,276,323,3,
,294,550,1,
,118,338,1,
,46,622,1,
,144,469,6,
,36,712,5,
,115,487,1,
,253,612,2,
,232,413,1,
,206,546,1,
,205,690,1,
,295,506,1,
,306,201,1,
,5,357,1,
,191,722,1,
,227,652,1,
,309,184,1,
,41,682,2,
,263,174,2,
,278,104,2,
,241,584,1,
,49,393,3,
,84,422,1,
,87,496,1,
,97,85,3,
,312,580,1,
,267,481,1,
,82,673,1,
,73,108,1,
,62,115,2,
,95,210,2,
,226,183,1,
,195,300,5,
,265,27,2,
,150,388,2,
,116,333,1,
,14,601,32,
,317,222,2,
,135,727,3,
,30,725,9,
,215,47,10,
,174,177,2,
,134,696,5,
,243,291,1,
,251,660,2,
,133,704,2,
,108,206,1,
,115,715,2,
,223,168,1,
,128,142,7,
,190,169,1,
,47,295,5,
,3,452,1,
,139,5,11,
,96,560,2,
,19,64,4,
,64,504,1,
,88,563,9,
,310,383,3,
,290,461,4,
,241,202,1,
,23,263,1,
,130,324,3,
,10,310,10,
,82,537,2,
,90,49,2,
,203,637,1,
,106,443,3,
,294,524,3,
,30,389,1,
,67,509,2,
,215,589,2,
,89,320,4,
,296,356,3,
,232,653,1,
,297,622,1,
,218,469,11,
,142,662,1,
,164,712,1,
,279,228,3,
,127,188,1,
,202,413,3,
,107,83,1,
,231,110,1,
,35,260,1,
,290,106,2,
,301,14,2,
,49,342,2,
,162,690,1,
,130,270,1,
,129,201,1,
,10,722,11,
,167,682,1,
,73,275,2,
,237,282,1,
,160,535,1,
,143,174,2,
,32,0,1,
,151,104,5,
,170,701,1,
,260,496,1,
,123,85,1,
,242,451,1,
,248,53,15,
,118,633,1,
,124,673,2,
,313,593,1,
,66,683,1,
,172,115,1,
,18,210,2,
,85,577,16,
,34,103,5,
,300,417,2,
,236,601,15,
,91,372,1,
,230,727,2,
,1,654,1,
,274,177,2,
,178,696,2,
,3,618,1,
,169,386,1,
,295,473,2,
,57,581,1,
,54,704,6,
,309,280,1,
,15,474,1,
,165,168,1,
,107,169,6,
,55,306,1,
,100,676,3,
,23,646,1,
,49,620,2,
,129,430,1,
,239,560,1,
,10,641,3,
,38,554,2,
,113,43,1,
,62,563,2,
,287,383,1,
,60,461,3,
,109,202,4,
,14,498,5,
,201,485,1,
,294,217,1,
,99,307,1,
,67,4,7,
,208,719,2,
,243,380,1,
,31,520,1,
,253,343,2,
,93,166,1,
,111,524,1,
,177,312,1,
,168,404,5,
,283,510,2,
,120,356,1,
,279,237,1,
,41,351,1,
,202,653,2,
,17,323,1,
,72,338,2,
,84,712,17,
,314,151,2,
,237,105,1,
,24,58,2,
,70,726,1,
,32,561,1,
,221,147,8,
,203,600,25,
,254,349,1,
,58,242,1,
,317,201,2,
,124,184,1,
,184,405,1,
,66,67,3,
,186,275,2,
,104,562,1,
,108,584,2,
,126,393,1,
,300,401,4,
,209,65,1,
,246,78,1,
,47,673,8,
,140,362,1,
,291,683,1,
,1,368,1,
,206,642,2,
,52,530,9,
,86,210,2,
,308,300,1,
,40,667,2,
,295,27,1,
,299,417,1,
,309,91,1,
,41,578,1,
,175,93,9,
,49,152,4,
,244,696,1,
,247,386,2,
,171,473,3,
,194,435,2,
,77,715,1,
,216,442,4,
,160,142,2,
,303,646,1,
,298,235,2,
,11,452,2,
,260,5,1,
,199,542,1,
,276,554,2,
,138,489,1,
,108,202,2,
,211,263,3,
,111,217,1,
,206,4,1,
,3,679,2,
,164,49,2,
,139,380,16,
,258,247,1,
,279,664,1,
,154,443,1,
,41,585,1,
,207,331,1,
,127,438,2,
,107,129,5,
,286,524,1,
,196,389,2,
,55,589,1,
,80,143,2,
,25,697,3,
,219,653,6,
,214,323,2,
,21,550,4,
,265,287,3,
,203,595,1,
,200,622,3,
,33,141,1,
,150,712,5,
,147,145,1,
,158,109,1,
,2,655,1,
,184,304,1,
,104,369,1,
,85,14,1,
,101,690,1,
,300,284,4,
,12,201,1,
,209,357,1,
,225,124,11,
,177,682,2,
,291,67,1,
,280,174,2,
,308,153,3,
,57,104,6,
,292,643,1,
,235,584,1,
,258,36,3,
,189,85,1,
,72,633,1,
,175,673,4,
,290,593,2,
,220,155,1,
,278,642,2,
,4,530,1,
,161,81,1,
,39,210,4,
,49,183,4,
,273,76,3,
,102,103,5,
,267,350,1,
,73,285,1,
,56,416,1,
,228,556,1,
,33,305,1,
,123,259,3,
,149,442,6,
,124,280,1,
,99,440,1,
,186,168,1,
,18,169,1,
,74,139,1,
,108,54,1,
,126,620,2,
,210,452,1,
,111,598,2,
,224,504,1,
,47,154,1,
,212,112,5,
,274,327,7,
,5,263,1,
,88,568,11,
,72,326,1,
,290,713,1,
,220,494,1,
,278,4,1,
,162,161,1,
,84,49,2,
,97,446,1,
,38,649,1,
,156,166,4,
,90,389,1,
,83,320,1,
,110,181,1,
,116,394,2,
,123,356,9,
,201,237,3,
,282,411,1,
,0,653,2,
,137,287,54,
,255,622,7,
,155,469,10,
,101,640,1,
,76,712,14,
,128,254,2,
,157,228,2,
,232,655,1,
,111,718,1,
,297,58,1,
,52,188,1,
,227,248,1,
,207,276,1,
,127,365,1,
,107,571,1,
,290,66,1,
,59,632,2,
,162,562,33,
,45,315,2,
,245,85,13,
,62,53,1,
,121,255,4,
,219,296,4,
,256,633,1,
,98,673,1,
,265,108,11,
,141,368,6,
,200,193,4,
,56,115,1,
,170,210,7,
,131,417,1,
,184,601,1,
,74,233,2,
,134,225,3,
,28,696,5,
,271,325,1,
,44,473,1,
,246,182,1,
,206,3,1,
,297,178,1,
,182,429,1,
,40,402,1,
,54,306,1,
,235,54,1,
,191,620,3,
,279,545,1,
,257,650,1,
,112,430,1,
,207,560,1,
,202,64,5,
,49,675,3,
,51,127,3,
,97,547,1,
,63,263,1,
,45,324,1,
,167,387,1,
,240,423,1,
,289,498,4,
,256,326,1,
,151,4,8,
,298,161,1,
,11,679,1,
,119,136,2,
,99,585,3,
,311,438,1,
,144,166,17,
,74,543,4,
,208,312,1,
,53,361,1,
,155,658,1,
,103,703,2,
,91,356,1,
,285,289,2,
,122,73,1,
,157,237,2,
,111,396,2,
,291,697,1,
,280,526,1,
,295,287,5,
,235,75,1,
,257,141,1,
,154,414,2,
,263,228,4,
,202,655,3,
,9,303,1,
,290,612,1,
,220,298,1,
,55,726,1,
